164,,Jakob Nogler,Italy,100,18,37,53.58,41,0,249.58,41.60%
165,,Martin Dinev,Macedonia,100,40,0,42.42,66,0,248.42,41.40%
166,,Tamer Emad,Syria,85,40,37,29.69,55,0,246.69,41.12%
167,,Bálint Molnár,Hungary,100,18,0,62.33,66,0,246.33,41.05%
168,,Nader Jemel,Tunisia,100,40,50,0,52,0,242,40.33%
169,,Osama Alkhodairy,Egypt,100,18,37,35.75,41,10,241.75,40.29%
170,,Mehmet Hamza Erol,Turkey,45,40,37,54.44,55,10,241.44,40.24%
171,,Kevin Wan,Canada,85,40,23,60,33,0,241,40.17%
172,,Oscar Jocqué,Belgium,45,40,37,63.45,52,0,237.45,39.58%
173,,Javier Nistal Salas,Spain,100,33,0,52.08,52,0,237.08,39.51%
174,,Renāts Jurševskis,Latvia,100,40,37,0,59,0,236,39.33%
175,,Cheng U Ian,Macau,100,40,25,18.5,52,0,235.5,39.25%
176,,Sebastian Weiermann,Belgium,65,18,37,49.27,55,10,234.27,39.05%
177,,Murad Eynizada,Azerbaijan,65,18,38,35.85,66,10,232.85,38.81%
178,,Christian Bertram,Denmark,100,22,0,48.26,52,10,232.26,38.71%
179,,Abutalib Namazov,Azerbaijan,45,18,72,46.24,41,10,232.24,38.71%
180,,Ralph McDougall,South Africa,100,7,37,36.11,52,0,232.11,38.69%
181,,Willian Wang,Brazil,100,40,37,3,52,0,232,38.67%
182,,Tian Cilliers,South Africa,65,40,10,62.92,44,10,231.92,38.65%
183,,Mohammed Taariq Mowzer,South Africa,85,18,37,36.66,55,0,231.66,38.61%
184,,Iat Long Iong,Macau,45,18,50,62.33,55,0,230.33,38.39%
185,,Andreas Kalavas,Cyprus,100,18,37,19.91,55,0,229.91,38.32%
186,,Behruz Azam,Uzbekistan,85,18,8,52.08,66,0,229.08,38.18%
187,,Shashwat Chandra,India,85,40,37,12,55,0,229,38.17%
188,,Daniel Zhenghao Choo,Singapore,65,40,31,30.3,52,10,228.3,38.05%
189,,Tanapoom Laoaroon,Thailand,100,40,37,12,0,39,228,38.00%
190,,Lautaro Lasorsa,Argentina,100,40,10,25.8,52,0,227.8,37.97%
191,,Håvard Rognebakke Krogstie,Norway,100,18,0,53.62,54,0,225.62,37.60%
192,,Miko Surara,Philippines,100,7,37,19,52,10,225,37.50%
193,,Kel Zin Tan,Malaysia,100,18,18,12,66,10,224,37.33%
194,,Diego Emir García Moreno,Mexico,45,40,50,36.08,52,0,223.08,37.18%
195,,Tiago Domingos Almeida Souza,Brazil,85,40,27,17.34,41,10,220.34,36.72%
196,,Maayan Levy,New Zealand,100,0,0,53.53,66,0,219.53,36.59%
197,,Dimitrios Rontogiannis,Greece,100,18,37,12,52,0,219,36.50%
197,,Roope Salmi,Finland,100,7,0,12,100,0,219,36.50%
199,,Evangelos Pipis,Greece,45,40,25,42.98,54,10,216.98,36.16%
200,,Blagojche Pavleski,Macedonia,100,40,0,10,66,0,216,36.00%
201,,Andi Qu,South Africa,45,18,25,62.09,55,10,215.09,35.85%
202,,Vladimirs Ščigoļevs,Latvia,65,18,15,62.92,52,0,212.92,35.49%
203,,Tugsgerel Lkhagvasuren,Mongolia,25,18,50,53.58,66,0,212.58,35.43%
204,,Mauricio Cari,Chile,65,18,23,51.03,55,0,212.03,35.34%
205,,Ming Yean Lim,Malaysia,65,40,18,26.59,52,10,211.59,35.27%
206,,Asadullo Ganiev,Uzbekistan,65,18,50,36.98,41,0,210.98,35.16%
207,,Steven Reyes,Philippines,65,18,50,11.64,66,0,210.64,35.11%
208,,Dion Stephan Ong,Philippines,65,18,50,36.11,41,0,210.11,35.02%
209,,Áron Noszály,Hungary,100,40,10,26.63,33,0,209.63,34.94%
210,,Tuukka Yildirim,Finland,45,18,38,53.53,52,0,206.53,34.42%
211,,Brayan Duran Medina,Cuba,65,40,50,36.07,14,0,205.07,34.18%
212,,Mamnoon Siam,Bangladesh,65,18,37,43.89,41,0,204.89,34.15%
213,,Charalampos Georgiou,Cyprus,85,40,25,2.6,52,0,204.6,34.10%
214,,Oscar Sierra,Colombia,100,0,0,52.08,52,0,204.08,34.01%
215,,Zhiyi Luo,Belgium,45,18,50,39.68,41,10,203.68,33.95%
216,,Justas Želnia,Lithuania,100,11,50,0,41,0,202,33.67%
217,,Claudiu Babin,Moldova,25,40,0,70.32,66,0,201.32,33.55%
218,,Admir Zatega,Bosnia and Herzegovina,100,18,37,12.33,33,0,200.33,33.39%
219,,Caolan Fleming,Ireland,85,0,37,12,66,0,200,33.33%
219,,Christopher Burckhardt,Switzerland,100,18,18,12,52,0,200,33.33%
221,,Euan Ong,United Kingdom,45,18,15,44.49,66,10,198.49,33.08%
222,,José Ángel Cázares Torres,Mexico,45,40,50,11,52,0,198,33.00%
223,,Izan Beltrán Ferreiro,Spain,65,7,50,24.44,41,10,197.44,32.91%
224,,Mikołaj Stępiński,Poland,65,40,38,0,54,0,197,32.83%
225,,Anouar Achghaf,Morocco,100,0,0,43.71,52,0,195.71,32.62%
226,,Anay Karnik,India,100,29,0,0,66,0,195,32.50%
227,,Luis Bahners,Germany,45,40,27,6.33,66,10,194.33,32.39%
228,,Pedro Lucas Lanaro Sponchiado,Brazil,85,18,15,12,52,10,192,32.00%
229,,Jaagup Tamme,Estonia,45,18,37,37.58,41,10,188.58,31.43%
230,,Angelos Assos,Cyprus,100,11,8,12,55,0,186,31.00%
231,,Mirbek Bakirov,Kyrgyzstan,100,40,23,12,0,10,185,30.83%
232,,David Nassauer,Portugal,65,18,25,19.35,55,0,182.35,30.39%
233,,Shenal Santhush Kotuwewatta,Sri Lanka,85,0,25,19,52,0,181,30.17%
234,,Hasan Khadra,Syria,45,40,37,47.34,0,10,179.34,29.89%
235,,Turbat Enkhbat,Mongolia,65,11,37,12,52,0,177,29.50%
236,,Hazem Issa,Egypt,45,33,10,35.91,52,0,175.91,29.32%
237,,Cesar Diaz,Colombia,50,18,0,54.93,52,0,174.93,29.16%
238,,Omar Besbes,Tunisia,65,7,37,12.33,52,0,173.33,28.89%
239,,Fan Meng Hong,Macau,25,18,37,52.03,41,0,173.03,28.84%
240,,Gijs Pennings,Netherlands,65,11,0,53.95,41,0,170.95,28.49%
