,,,,,,,,,,Score,,
Rank,Contestant id,Contestant,Country,Sh,Sp,R,L,V,W,Abs.,Rel.,Medal
1,106,Benjamin Qi,United States of America,100,100,100,90.09,100,57,547.09,0.9118,1
2,14,Ildar Gainullin,Russia,100,64,100,90.22,100,57,511.22,0.852,1
3,214,Zixiang Zhou,Canada,100,40,100,97.33,100,57,494.33,0.8239,1
4,102,Ziqian Zhong,China,100,64,100,70.46,100,57,491.46,0.8191,1
5,103,Junzhao Yang,China,100,40,100,85.39,100,57,482.39,0.804,1
6,110,Po-Hsuan Su,Taiwan,100,40,100,71.14,66,100,477.14,0.7952,1
7,107,Eric Zhang,United States of America,100,40,100,83.87,100,43,466.87,0.7781,1
8,134,Mahdi Jafari Raviz,Iran,100,40,72,86.11,66,100,464.11,0.7735,1
9,138,Angus Ritossa,Australia,100,40,72,90.26,100,57,459.26,0.7654,1
10,158,Arthur Léonard,France,100,40,72,97.65,100,43,452.65,0.7544,1
11,111,Shih-Yu Wang,Taiwan,100,40,72,76.43,100,57,445.43,0.7424,1
12,98,Eu-Shaun Leong,Singapore,100,40,100,81.35,66,57,444.35,0.7406,1
13,108,Daniel Zhang,United States of America,100,40,100,77.75,100,24,441.75,0.7362,1
14,54,Nazarii Denha,Ukraine,85,40,72,85.2,100,57,439.2,0.732,1
15,174,Nikoloz Birkadze,Georgia,100,40,100,85.75,100,10,435.75,0.7262,1
16,25,Abdul Malik Nurrokhman,Indonesia,100,40,100,72.43,66,57,435.43,0.7257,1
17,13,Vladimir Romanov,Russia,100,40,100,72.35,66,57,435.35,0.7256,1
18,6,Sebin Kim,Republic of Korea,100,40,100,72.3,66,57,435.3,0.7255,1
19,194,Phuc Trinh Huu Gia,Vietnam,100,100,72,37.48,100,24,433.48,0.7225,1
20,105,Jiaxuan Gao,China,100,40,100,83.11,100,10,433.11,0.7219,1
21,84,Radoslav Dimitrov,Bulgaria,100,40,100,65.75,66,57,428.75,0.7146,1
22,5,Gyojun Youn,Republic of Korea,100,40,72,90.97,66,57,425.97,0.71,1
23,50,Batyr Sardarbekov,Kazakhstan,100,40,72,53.81,100,57,422.81,0.7047,1
24,197,Duc Bui Hong,Vietnam,100,40,72,52.66,100,57,421.66,0.7028,1
25,38,Masataka Yoneda,Japan,100,40,72,51.89,100,57,420.89,0.7015,1
26,16,Egor Lifar,Russia,85,40,100,85.3,52,57,419.3,0.6988,1
27,250,Balázs Tóth,Hungary,100,40,50,89.26,100,39,418.26,0.6971,1
28,15,Aleksandr Morozov,Russia,100,40,100,50.75,100,24,414.75,0.6912,1
29,40,Koichi Namekata,Japan,100,40,72,90.46,52,57,411.46,0.6858,2
30,135,Arshia Soltani Moakhar,Iran,100,40,100,65.52,66,39,410.52,0.6842,2
31,159,Etienne Rossignol,France,100,100,50,69.24,66,24,409.24,0.6821,2
32,222,Noam Gutterman,Israel,100,40,100,36.91,100,24,400.91,0.6682,2
33,286,Jiří Kalvoda,Czech Republic,100,40,38,65.7,100,57,400.7,0.6678,2
34,230,Patrick Pavić,Croatia,100,40,100,68.97,66,25,399.97,0.6666,2
